pellet_1,pellet_2,pellet_3,pellet_4
0.085,0.0102,0.0102,0.097
0.085,0.0102,0.097,0.0102
0.085,0.0102,0.0102,0.097
0.085,0.0102,0.097,0.0102
0.085,0.097,0.0102,0.0102
0.085,0.097,0.0102,0.0102
0.0102,0.085,0.0102,0.097
0.0102,0.085,0.097,0.0102
0.0102,0.0102,0.085,0.097
0.0102,0.0102,0.097,0.085
0.0102,0.097,0.085,0.0102
0.0102,0.097,0.0102,0.085
0.0102,0.085,0.0102,0.097
0.0102,0.085,0.097,0.0102
0.0102,0.0102,0.085,0.097
0.0102,0.0102,0.097,0.085
0.0102,0.097,0.085,0.0102
0.0102,0.097,0.0102,0.085
0.097,0.085,0.0102,0.0102
0.097,0.085,0.0102,0.0102
0.097,0.0102,0.085,0.0102
0.097,0.0102,0.0102,0.085
0.097,0.0102,0.085,0.0102
0.097,0.0102,0.0102,0.085
